en,ko
Give him the message when he comes back.,그가 돌아오면 메모를 전해주세요.
He is her friend.,그는 그녀의 친구다.
Tom said he needed some more time.,톰은 시간이 좀 더 필요하다고 말했다.
Tom was deeply shocked.,톰은 심한 충격을 받았어.
Tom wants to know if you have any time to help.,네가 도와줄 수 있는 시간이 있는지 톰이 궁금해하던데.
It won't help you.,도움이 안 될 것이다.
"Tom, I need your help.","톰, 도와줘."
The human mind is good at recognizing patterns.,인간의 마음은 패턴을 인식하는 것을 잘해.
We don't know whether Tom can come or not.,우리는 톰이 올수 있을지 없을지 모릅니다.
"Even though I slept for twelve hours, I'm still sleepy.",12시간 잤는데도 또 졸려.
I don't like your name.,저는 당신 이름이 싫어요.
She has a daughter who is tall.,그사람한테는 키가 큰 딸이 하나 있어.
Do you have the most recent version of this software?,이 소프트웨어의 가장 최신 버전을 갖고 있어?
She is beautiful.,그녀는 아름답다.
Everyone's going to be there.,모두들 거기 가 있을 거야.
"Tom isn't here, I assure you.","톰은 여기 없어, 내가 장담해."
When do you write?,언제 썼어?
The coat is on the chair.,코트는 의자에 있어.
My cell phone doesn't work.,내 핸드폰은 동작하지 않아.
I'd like to learn how to ski.,나는 스키타는 법을 배우고 싶어.
I wanted to do something nice for you.,뭔가 너한테 좋은 것을 해주고 싶었어.
Have you gone nuts?,너 미쳤구나?
This annoys me.,이것은 나를 짜증나게 한다.
Selling cars is my job.,제 직업은 카셀러입니다.
I'm not going to give up.,나는 포기하지 않을 것이다.
I will be sixteen years old next year.,내년이면 나는 열여섯 살이 된다.
I live very close to the subway station.,난 지하철 역에서 아주 가까운 곳에 살아.
Don't be so silly.,실없게 굴지마.
I assure you that isn't necessary.,저건 필요 없다니까.
Is it too late?,너무 늦었나요?
I'm sorry that you had to hear that.,그걸 들어야 했다니 유감이야.
Keep looking.,계속 보고 있어봐.
Look back!,뒤에 봐봐!
Everything's normal.,모든 것이 정상이야.
Yesterday was Sunday.,어제는 일요일이었다.
You scared Tom.,넌 톰을 무섭게 했어.
Tom flinched.,톰이 움찔했어.
Tom wants to learn how to shoot.,톰은 총 쏘는 법을 배우고 싶어 해.
Tom is a timid child.,톰은 소심한 어린이야.
Come here.,여기로 와.
I was in New York for a few days.,나는 며칠 동안 뉴욕에 있었다.
Are you saying that I'm a liar?,내가 거짓말쟁이라는 거야?
Tom doesn't drink alcoholic drinks at all.,톰은 알코올이라면 전혀 입에 대지 않아.
I took the subway yesterday.,어제 지하철을 탔어.
They laughed.,그 사람들 웃었어.
Those are mine.,그것들은 내 것이다.
Who really called?,진짜로 누가 전화한 거야?
Why should I learn French?,왜 프랑스어를 배워야 하는 거지?
We were in Australia last week.,우린 지난주에 호주에 있었어.
I am at home.,나는 집에 있다.
Is there something that you wish to tell me?,뭔가 할 말이 있니?
This is a complete distortion of the facts.,이건 사실에 대한 완전한 왜곡이야.
Could you tell me your present address?,현주소를 말씀해 주시겠습니까?
Tom is wearing a blue coat.,톰은 파란 코트를 입고 있어.
I wonder what Tom is going to do this afternoon.,나는 톰이 오후에 뭘 할 건지 궁금하다.
What have you bought your girlfriend for Christmas?,크리스마스에 여친에게 뭘 사줬니?
Be careful. There's a hole in the floor.,조심해. 바닥에 구멍이 있어.
I want to become a doctor.,나는 의사가 되고 싶다.
I think I understand.,이해했습니다.
It's really hard to stop.,그만 두는 건 너무 어려워.
"It was Tom's idea, not mine. Don't blame me.",그건 내 생각이 아니라 톰의 생각이었어. 내 탓 하지 마.
Tom is silly.,톰은 실없어.
I saw my mother hide the cake.,나는 어머니가 케이크를 숨기는 것을 보았다.
Everybody wants permanent peace.,모두가 영원한 평화를 원한다.
Don't worry. Someone will come and rescue us eventually.,걱정하지 마. 결국 누군가 와서 우리를 구출할 거야.
Tom is eager.,톰은 열성적이야.
Tom filled the wheelbarrow with sand.,톰은 외바퀴 손수레를 모래로 채웠다.
My younger sister plays piano every day.,우리 여동생은 날마다 피아노를 친다.
That sounds reasonable.,합리적으로 들리네.
Education is the key to success.,교육이야말로 성공으로 가는 길이야.
It's the highest building in this city.,이것은 이 도시에서 가장 높은 빌딩이다.
I'll give this to Tom.,내가 이 것을 톰에게 줄거야.
"If you don't help Tom, he'll have trouble doing it.",네가 톰을 도와주지 않는다면 톰은 곤란에 처할 거야.
Tom is a methamphetamine addict.,톰은 메스암페타민 중독자야.
That's all I want.,그게 내가 바라는 전부야.
Do you think eating breakfast every day is important?,매일 아침을 먹는 것이 중요하다고 생각하나요?
Did Tom see you?,톰이 널 봤어?
How romantic!,정말 로맨틱해!
Are you busy today?,오늘 바쁘신가요?
I can both sing and dance.,나는 노래도 부를 줄 알고 춤도 출 줄 알아.
I don't use social media.,나는 소셜 미디어는 안 써.
No news is good news.,무소식이 희소식이다.
Would you like some more?,더 먹을래?
Are we off the record?,저희 이거 비밀로 하실 거죠?
She majors in medicine.,그녀는 의학을 전공하고 있습니다.
It's not my decision.,내가 결정한 게 아니다.
He denied that fact.,그는 그 사실을 부인했다.
I have two sons.,나에게는 아들이 둘 있다.
Eating out is something that I don't do very often.,외식은 내가 그렇게 자주 하는 것이 아니다.
I'm a little confused.,나는 조금 혼란스럽다.
I've had a thing for rabbits ever since.,나는 그때부터 토끼에게 끌리기 시작했다.
A wise leader knows when to listen.,지혜로운 리더는 언제 들어야 할지를 안다.
Tom didn't know who was going to be there.,톰은 누가 거기에 있을 건지 몰랐어.
Tom said that Mary knew that John might not be allowed to do that.,톰은 마리가 존이 그걸 하면 안 될 거라는 걸 알았다고 말했다.
I'm behind you.,난 네 뒤에 있어.
She was busy.,그는 바빴다.
Tom's dog is very big.,톰 강아지는 정말 커.
Is there bus service to the airport?,공항까지 가는 버스가 있나요?
Tom looked like he was confused.,톰은 혼란스러워하는 것처럼 보였어.
You don't need to prove anything to me.,나한테 아무것도 증명할 필요 없어.
Tom is quite a guy.,톰은 별난 녀석이야.
Nothing is certain but death and taxes.,죽음과 세금만큼 확실한 것은 없어.
The prisoners were set free.,죄수들은 풀려났다.
Are you interested in science?,과학에 관심 있니?
Accept your fate.,운명을 받아들여라.
We had fun with Tom.,우리는 톰과 즐거운 시간을 가졌다.
"Being too nervous to reply, he stared at the floor.","대답하기에 너무 긴장되어서, 그는 바닥을 응시했다."
I can't walk fast.,난 빠른 걸음을 할 수 없어.
That's money that's been wasted.,그것은 낭비된 돈이다.
Tom is just getting used to this.,톰은 이것에 익숙하다.
Why didn't you tell me you weren't going to be there?,왜 네가 거기에 안 갈 거라고 말 나한테 안 했어?
I am telling a story.,나는 이야기를 들려주고 있다.
I know that Tom is a very quiet person.,나는 톰이 아주 조용한 사람이라는 걸 알고 있어.
"Sorry, I'm late.",늦어서 미안합니다.
I have a sister.,나에게는 누나가 있다.
I'm a simple girl.,저는 단순한 소녀에요.
She lives in a large house.,그녀는 큰 집에서 산다.
Tom exhaled.,톰이 숨을 내쉬었어.
I didn't want to get hurt.,나는 다치고 싶지 않았다.
Let's visit some temples tomorrow.,내일 사원에 한번 가보자.
His speech moved us.,그의 연설은 우리를 움직였다.
"Things are the same, but people have changed.",상황은 같지만 사람들은 바뀌었다.
I have to take my medicine every six hours.,나는 약을 여섯 시간마다 먹어야 해.
Tom looks pretty sleepy.,톰은 상당히 졸려 보인다.
Her uncle is a famous doctor.,그녀의 삼촌은 유명한 의사입니다.
I think you're the greatest.,난 네가 최고라고 생각한다.
How far is it to the train station?,기차역까지 얼마나 멀어?
That's all I want.,내가 바라는 건 그게 다야.
Stop worrying.,그만 걱정해.
I heard that Tom attempted suicide.,톰이 자살을 시도했다고 들었어.
I didn't know where I should go.,어디로 가야할지 몰랐다.
Tell everybody.,모두한테 말해.
Would you stop doing that?,그것 좀 멈춰 줄래?
I regret leaving.,나는 떠난 것을 후회한다.
It's very humid.,상당히 습하다.
It's a dictionary.,이것은 사전이다.
How arrogant!,이렇게나 건방지다니!
Everyone laughed.,모두가 웃었어.
I may be too old.,난 너무 늙었을지도 몰라.
"I don't have much money, but I can get along somehow.","나는 돈이 별로 없지만, 그럭저럭 지낼 수 있다"
Tom Jackson easily won the election.,톰 잭슨은 손쉽게 선거에서 이겼다.
I like to travel alone.,나는 혼자 여행하는 것을 좋아해.
I didn't think Tom knew how to drive.,난 톰이 운전하는 법을 안다는 걸 몰랐어.
What in the world is this?,이게 대체 뭐예요?
Goodbye!,안녕!
I didn't think you were coming.,네가 오는 줄 몰랐어.
That's just about it.,거의 다 됐어요.
Try to see the problem from her point of view.,그 사람의 관점으로 문제를 보려고 노력하자.
We should consider the problem from a child's point of view.,우린 어린이의 관점으로 문제를 고려해야 해.
Tom swims well for his age.,톰은 나이에 비해 수영을 잘해.
I don't have a cell phone.,나한텐 핸드폰이 없어.
I should've told you everything earlier.,너한테 모든 걸 좀 더 빨리 얘기했어야 했는데.
Where will you go tomorrow?,내일 어디로 갈거야?
Are you studying?,공부하고 계십니까?
Tom doesn't know why I'm here yet.,톰은 제가 왜 여기 있는지 아직 모릅니다.
Have you talked to the doctors yet?,아직 의사랑 말 안했어?
"I don't know if it's a bug or what, but this software doesn't work right.","이게 버그인지 아닌지 모르겠는데, 이 소프트웨어는 제대로 동작하지 않아."
The real issue is how to prevent the disease.,진짜 문제는 어떻게 질병을 막는지야.
I no longer study French.,나는 더 이상 프랑스어를 공부하지 않는다.
Tom claimed that he owned that expensive-looking red car we saw yesterday.,톰은 우리가 어제 봤던 비싸보이는 빨간 자동차가 자기 것이라고 주장했어.
Come to my house whenever you like.,언제든지 우리 집에 와.
Everyone prayed.,모두 기도했어.
Attention please!,여기 주목!
I'm a man.,나는 남자다.
There's something wrong here.,여기 뭔가가 잘못됐다.
Tom has an appointment at 2:30.,톰은 2시 30분에 약속이 있어.
I used to play tennis.,나는 테니스를 치곤 했다.
I don't want to suffer.,나는 고통받고 싶지 않아.
I was unable to finish my homework.,저는 제 숙제를 끝낼 수가 없었습니다.
It's not fair to attribute your failure to your parents.,당신의 실패를 당신의 부모님 탓으로 돌리는것은 옳지 않습니다
You're looking tired.,너 피곤해 보여.
I gave my brother a dictionary.,나는 내 형제에게 사전을 주었다.
I need to warn Tom.,나는 톰에게 경고해야 해.
I don't know who started the rumor.,누가 소문을 내기 시작했는지 난 몰라.
Take this.,가져.
She took it off.,그녀는 그것을 벗었다.
Do you have any children?,자식이 있으신가요?
That sounds sensible.,합리적으로 들리네.
Tom is probably going to be there.,톰은 아마도 거기에 갈 거야.
There is no bus service after nine-thirty.,9시 반 이후엔 버스가 다니지 않아요.
Tom seemed sleepy.,톰은 졸려 보였어.
Tom reacted instantly.,톰은 즉각 반응했다.
I miss my cat.,난 내 고양이가 그리워.
I felt very safe.,나는 매우 안전하다고 느꼈다.
Six squared equals thirty-six.,6의 제곱은 36이야.
Neither of my parents can swim.,우리 부모님은 수영을 못하셔.
We reached our goal.,우리는 목표를 달성했다.
I tried to act impressed.,나는 감동한 것처럼 보이려고 노력했어.
Our restaurant is the best.,우리 레스토랑이 최고다.
"You talked to Tom, didn't you?","톰한테 말했지, 그치?"
They're orphans.,그들은 고아다.
Tom is working as a software engineer.,톰은 소프트웨어 기술자로서 일하고 있어.
I know you hate school.,네가 학교를 싫어한다는 건 알고 있어.
She waited for him for hours.,그녀는 그를 몇 시간이고 기다렸다.
There are some important questions that science cannot answer.,과학이 답변할 수 없는 몇 가지 중요한 질문들이 있어.
I remember.,기억하고 있어.
I'm very happy in Boston.,난 보스턴 생활이 너무 좋아.
"Is Tom a Canadian, too?",톰도 캐나다인이야?
How long have you lived here?,너 여기서 산 지 얼마나 됐어?
I wonder whether Tom thinks I have to do that.,톰이 내가 그렇게 해야 한다고 생각하는지 궁금하다.
What do you want to eat?,뭐 먹고 싶어?
What if I'm right?,내 말이 맞았다면?
They'll like it.,그들이 좋아할 것이다.
This is a French word.,이건 프랑스어 단어야.
"Actinium melts at 1,051°C.","악티늄은 1,050°C일 때 녹아."
Tom is a very quiet person.,톰은 아주 조용한 사람이야.
I'm sorry that I couldn't go with you.,같이 갈 수 없어서 유감이야.
Tom is a single dad.,톰은 싱글 대디야.
Tom was swimming with us yesterday.,톰은 어제 우리랑 같이 수영했어.
This film is based on a novel.,이 영화는 소설을 원작으로 삼았다.
Tom said he felt responsible.,톰은 책임감을 느낀다고 말했어.
What's your opinion on that?,그것에 대한 당신의 의견은 무엇인가?
Tom is a lovable person.,톰은 사랑스러운 사람이야.
This annoys me.,이거 짜증나.
Every country has its own history.,어떤 나라든 역사가 있다.
"Without you, my life would be meaningless.",너 없이는 내 인생은 의미가 없었을 거야.
I wasn't even here.,난 심지어 여기에 없었어.
Humans can't live without air.,인간은 공기 없인 살 수 없어.
That made me curious.,저게 날 궁금하게 만드네.
Remember it.,기억해.
This English book is too difficult for me to read.,이 영어 책은 내가 읽기엔 너무 어렵다.
I can't eat that salad dressing.,그 샐러드 드레싱은 못 먹겠어.
"Switzerland is situated between France, Italy, Austria and Germany.","스위스는 프랑스와 이탈리아, 오스트리아, 독일 사이에 있다."
It is a matter of life or death.,사느냐 죽느냐의 문제다.
Tom cheats.,톰이 사기 쳐.
Tom went home by taxi.,톰은 택시를 타고 집에 갔다.
I missed the bus.,버스를 놓쳤어요.
A good memory is his weapon.,좋은 기억력이 그의 무기이다.
Please tell me when he arrives here.,그가 여기에 오면 저한테 말해주세요.
There was no one home.,집에 아무도 없었다.
Go to the barbershop.,이발소에 가거라.
Tom wanted this.,톰이 바라던 바다.
I'm not as lucky as you.,난 너만큼 운이 좋지 않아.
Oh no!,아니 이런!
How long did you stay?,얼마나 머무실 건가요?
How may I serve you?,어떻게 도와드릴까요?
Do you have to make a speech?,연설을 해야 하나요?
Where did you spend your summer vacation?,여름방학을 어디서 보냈어?
What color is Tom's hair?,톰 머리는 어떤 색깔이야?
Only four horses competed in the race.,오직 네 마리 말만 경주에 참가했어.
Not all of the students were present.,모든 학생이 출석한 건 아니었어.
It's awfully warm today.,오늘은 끔찍하게 덥네.
This word isn't French.,이 단어는 프랑스어가 아니야.
They obeyed.,그 사람들은 복종했어.
Why do we dream?,왜 우리는 꿈을 꿔?
Wash up.,설거지 해.
Who really called?,진짜로 누가 부른거야?
I was afraid I might be late.,내가 혹시 늦을까봐 걱정했었어.
Forget him.,그 사람에 대해선 잊어 버려.
Our wedding is tomorrow.,우리의 결혼식은 내일이다.
They smiled.,그 사람들이 웃었어.
See above.,위를 봐.
Don't treat me like that.,나를 그렇게 대하지 마.
I've been working all night.,나는 밤새 일하던 중이었어.
That isn't what I thought.,그건 내 생각이 아니다.
Do you have a cell phone?,핸드폰을 가지고 계신가요?
Stop being stupid.,바보같이 굴지 마.
They lied.,그들이 거짓말 쳤어.
I thought Tom would be lonely.,난 톰이 외로울 거라고 생각했어.
Please hurry.,서둘러 주세요.
I knew Tom was afraid of his grandfather.,톰은 자신의 할아버지를 무서워한다는 것을 난 알고있었지.
I dreamed I kissed Tom.,난 톰이랑 키스하는 꿈을 꿨어.
I'm trying to help you keep your job.,나는 니가 일을 계속하게 도와주고 싶어.
Is it a social problem?,이거 사회적인 문제야?
Years passed.,세월이 빠르다.
"If you were to win the lottery, what would you buy with the money?",로또에 당첨되면 그 돈으로 뭘 사고 싶어?
It's October the third.,10월 3일이다.
I don't usually put apples in the refrigerator.,나는 보통 사과를 냉장고에 두지 않는다.
I wasn't comfortable with the situation.,난 이 상황이 편안하지 않아.
"In the alphabet, B comes after A.",알파벳에서는 A 다음에 B가 온다.
Who's the most intelligent person you know?,네가 아는 사람 중에서 누가 가장 머리가 좋은 사람이야?
They say this old house is haunted.,사람들이 이 고옥에 귀신이 들렸다고 한다.
Can I borrow your scissors?,네 가위 좀 빌려 줄래?
Tom's only been a widower for six months.,톰은 홀로 된지 6개월밖에 지나지 않았다.
We're too old.,우린 너무 늙었어.
We should get back home.,우리는 집으로 돌아가야 한다.
I had a very bad dream last night.,난 어젯밤 아주 나쁜 꿈을 꿨어.
I'm sure Tom is going to be there.,톰은 거기에 갈 거라고 확신해.
Tom was wearing a ridiculous hat.,톰은 멍청한 모자를 쓰고 있었다.
It looks like it's going to rain.,비가 올 것 같네요.
Could you help us translate this text?,이 글의 번역을 도와주실 수 있나요?
"If it is worth doing at all, it is worth doing well.","할 가치가 있는 일이면, 제대로 하십시오."
I did my best.,그게 내 최선이었어.
I got this bicycle for free.,나는 이 자전거를 공짜로 얻었다.
Tom died very young.,톰은 아주 일찍 죽었어.
I take care of my grandfather.,나는 할아버지를 돌보고 있어.
Do you think that eating breakfast every day is important?,매일 아침을 먹는 것이 중요하다고 생각하나요?
I love meeting new people.,나는 새로운 사람들을 만나는 것을 좋아한다.
I need somebody to talk to.,같이 대화할 누군가가 필요하다.
"Tom is gone, isn't he?",톰은 떠났지?
"My husband is a teacher, too.",우리 남편도 선생님이야.
I hope Tom is coming.,톰이 오고 있길 바라.
Tom kneeled.,톰이 무릎을 꿇었어.
I'll give it to Tom.,톰에게 줄 거야.
He deserves punishment.,그는 벌을 받아 마땅하다.
Tom has an aunt who is in prison.,톰에게는 감옥에 들어간 이모가 있다.
This is excellent wine.,이것은 최고의 와인이다.
What nonsense!,어이가 없네!
Come forward.,앞쪽으로 와.
Come quickly!,빨리 와!
The store might be closed already.,그 가게는 이미 문을 닫았을 지도 모른다.
Tom likes romantic movies.,톰은 멜로 영화를 좋아한다.
Tom was lonely and wished he had someone to talk to.,톰이 외로워서 누군가 말을 걸 사람이 있었으면 좋겠다고 기도했어.
Can we still be friends?,우린 아직도 친구일 수 있을까?
Why do you want a car?,왜 자동차를 갖고 싶어?
There is a television in the room.,방 안에 텔레비전이 있다.
What nonsense!,말도 안 되는 소리!
Tom is wearing a pair of old shoes.,톰은 낡은 신발을 신고 있어.
Tom found a job that he likes.,톰은 자신이 좋아하는 직업을 찾았다.
I'll be there soon.,곧 갈게.
It rarely snows here.,여긴 거의 눈이 안 와.
We don't lie.,우린 거짓말 안해.
Five times seven is thirty-five.,오 곱하기 칠은 삼십오이다.
Tom spent more money than usual.,톰은 평소보다 돈을 많이 썼다더라.
Tom jumped.,톰이 점프했어.
Tom told his friends that he never ate meat.,톰은 친구들에게 고기를 먹은 적이 한 번도 없다고 했다.
I think that Tom is sensible.,톰은 예민한 것 같아.
I'm lost.,나는 길을 잃었다.
Tom yawned.,톰이 하품했어.
It is a matter of life or death.,삶과 죽음의 문제다.
A mosquito just bit me.,모기가 날 물었다.
What happened to all those people?,저기 단체로 무슨 일이야?
Your lips are blue.,네 입술이 파래.
Meet me there at midnight.,한밤중에 거기서 나랑 만나자.
It rained throughout the night.,밤새 비가 내렸다.
I caught a cold.,감기에 걸렸어.
Do you really think Tom will let you help him?,너 정말 톰이 너한테 도움받도록 내버려 둘 것 같아?
Tom certainly thinks so.,톰은 틀림없이 그렇게 생각해.
"The boy seized the ladder, and began to climb.",소년이 사다리를 잡고 오르기 시작했다.
Would you like to invite a friend?,친구를 초대해줄래?
Tom found out what went wrong.,톰은 뭐가 잘못됐는지 알아챘어.
Time flies.,시간이 빠르다.
This restaurant is busier on Saturdays.,이 음식점 토요일에는 더 붐벼.
I didn't think that Tom would ever forgive Mary for doing that.,난 톰이 메리가 그 짓을 한 걸 용서하리라고는 생각하지 않는다.
He invited me to dinner.,그는 나를 저녁 식사에 초대했다.
Tom has spent the past three years in prison.,톰은 과거 삼 년동안 감옥에 있었어.
I didn't know that you had a boyfriend.,나는 너한테 남친이 있는 줄 몰랐어.
Tom's dream came true.,톰의 꿈은 실현되었어.
Tom doesn't like Chinese food.,톰은 중국요리를 좋아하지 않는다.
You should stop singing.,너 노래 그만 불러야할 것 같아.
Do you have a website?,홈페이지가 있나요?
It's dangerous to go outside right now.,지금 당장 밖으로 나가는 것은 위험하다.
Tom's smiling.,톰은 미소를 짓고 있다.
I can't walk fast.,난 빠른 걸음은 할 수 없어.
No other language is as beautiful as French.,프랑스어만큼 아름다운 언어는 없어.
Would you let me drive your car if you had one?,너 자동차 있으면 내가 네 걸 운전하게 해줄래?
Do you want me to answer?,내가 대답하길 원해?
Genes consist of a specific sequence of DNA.,유전자는 DNA 특유의 배열로 구성되어 있어.
We're leaving now.,우리는 지금 떠난다.
You're very nice.,너는 정말 멋있다.
Why didn't you use a pay phone?,공중전화를 왜 사용하지 않았니?
Nice timing.,타이밍 좋네.
I heard Tom's voice.,톰 목소리를 들었어.
It's a symbol of friendship.,이건 우정의 표시야.
Tom forgot.,톰이 잊었어.
I was scolded for being late.,지각해서 혼났어.
They left.,그들이 떠났어.
Onions cook more quickly than potatoes.,양파는 감자보다 빨리 익는다.
Try some.,좀 먹어봐.
Did you know Mary and Alice were sisters?,메리와 앨리스가 서로 자매라는 것을 알고 있었어?
My house is near the beach.,우리 집은 해안가에 있다.
Where can I learn how to surf?,어디서 서핑하는 법을 배울 수 있어?
I exercised.,난 운동했어.
I was very busy today.,오늘은 너무 바빴어.
Wake up!,일어나!
I understand your situation.,네 상황을 이해해.
It's not funny.,안 재밌어.
There was blood.,피가 있었다.
I hope that she will help me.,나는 그녀가 날 도와주길 바란다.
Mary is the richest woman I know.,메리는 내가 아는 선에서 가장 부자야.
All that glitters is not gold.,반짝이는 것이 모두 금은 아니다.
Are you able to play organ?,너 오르간 칠 수 있어?
He came to London by way of Siberia.,그 사람은 시베리아를 거쳐서 런던에 왔어.
I love vanilla ice cream.,나는 바닐라 아이스크림을 정말 좋아한다.
I'm so glad that you're here.,와줘서 고마워.
I don't think doing that would be such a good idea.,그걸 하는 것은 그리 좋은 생각 같진 않은데.
No one laughed.,웃는 사람이 없었다.
Do you want to take a walk?,산책하고 싶어?
Perfect!,완벽해!
Can I borrow your umbrella?,네 우산 좀 빌려 줄래?
I don't understand you.,선생님의 말씀은 이해가 안 됩니다.
I've never seen anything quite like this.,이런 거 한 번도 본 적이 없어.
Will you show me what you bought yesterday?,어제 뭘 샀는지 나한테 보여줄 거야?
Please drop in at my house on your way home.,귀가하실 때 저희 집에 들러 주세요.
Tom hesitated.,톰이 주저했어.
"It looks like snow, doesn't it?","눈인 것 같은데, 안 그래?"
Tom is used to working hard.,톰은 열심히 일하는 것에 익숙하다.
I've never heard of this actor.,이 배우는 들어본 적이 없다.
I'm sorry that I cried.,울어서 미안해.
Have you ever been a soldier?,군인이었던 적 있어?
Tom won't eat or drink anything.,톰은 아무것도 먹기도 마시기도 싫다.
I just don't want anyone to be mad at me.,나는 그 누구도 나한테 화를 안냈으면 좋겠을 뿐이야.
My birthday is one month from today.,내 생일은 오늘부터 한달 후야.
Is your apartment well maintained?,네 아파트는 잘 유지되고 있니?
I still have some vacation days left.,아직 휴가가 조금 남았다.
Tom isn't helping any.,톰은 전혀 도움이 안 된다.
I'm shocked.,충격이야.
Come closer.,가까이 와.
I wish I were as smart as you are.,나도 당신처럼 똑똑해지고 싶습니다.
The Mona Lisa was painted by Leonardo da Vinci.,모나리자는 레오나르도 다빈치가 그렸어.
I attended his funeral.,나는 장례식에 참석했다.
He spoke.,그가 말했다.
Science is very exciting.,과학은 아주 흥미진진해.
Who's that in the car with Tom?,차 안에 Tom과 같이 있는 사람이 누구야?
Why do you like this school?,왜 이 학교를 좋아해?
I ate at a restaurant.,나는 레스토랑에서 식사했다.
The satellite is now in orbit.,이제 인공위성이 궤도에 올랐다.
The cats are meowing.,고양이들이 야옹하고 울고 있어.
Everyone hesitated.,모두 주저했어.
Tom's room is dirty.,톰의 방은 더러워.
It is a nice view from here.,여기서 보는 경치가 멋있다.
I wanted Tom to meet my friends.,난 톰이 내 친구들을 만났으면 했어.
We want you to sing the song.,우리는 네가 그 노래를 불렀으면 좋겠다.
Can you remember the first time we met each other?,우리 서로 처음 만난 순간 기억하시나요?
Tom wants this one.,톰은 이것 하나를 원한다.
"It's a ridiculous question, really.",참으로 황당한 질문이네.
Stay away from that.,거기서 물러나 있어.
You'd better tell me if you did something wrong.,만약에 네가 나쁜 짓을 했다면 알려주는게 좋을거야.
Tom didn't know Mary had a brother.,Tom은 Mary가 남동생이 있는 줄 몰랐어.
How awful!,끔찍해라!
Who taught you that?,그걸 누가 가르쳐 줬어요?
"Tom learns French, too.",톰도 프랑스어 배워.
That's just my guess.,그건 단지 내 추측일 뿐이야.
I want to die.,죽고 싶어요.
I speak French a little.,저는 프랑스어를 조금 합니다.
This film is based on a novel.,이 영화의 원작은 소설이다.
We promised.,우린 약속했어.
I've been trying to convince Tom to learn French.,나는 톰이 프랑스어를 배우도록 설득하던 중이었어.
This is fun.,이것은 재미있다.
Tom is addicted to junk food.,톰은 패스트푸드 중독자야.
I ate one of the three remaining donuts.,남아있는 도넛 세 개 중 한 개를 먹었어.
Forget it.,잊어버려.
Tom has done something horrible.,톰은 뭔가 끔찍한 것을 저질렀어.
I didn't want to bother Tom while he was studying.,나는 톰이 공부하는 동안에는 귀찮게 하고 싶지 않았어.
When were potatoes introduced into Japan?,감자가 일본에 전래된 것은 언제일까?
Tom works in a bank now.,톰은 현재 은행에서 일해.
How can anyone trust anything Tom says? He's a pathological liar.,어떻게 누군가가 톰이 말하는 것을 믿을 수 있지? 그는 병적인 거짓말쟁이야.
I want to learn to defend myself.,나는 내 자신을 방어하는 법을 배우고 싶어.
I think Tom is winning.,톰이 이기고 있는 것 같다.
My calculation was correct.,내 계산은 정확했어.
Its origin is unknown.,출처는 불명이야.
We volunteered.,우린 자원해서 했어.
You've got cancer.,암에 걸리셨습니다.
Open the door for me.,문을 열어둬.
This is such a sad story.,참 슬픈 이야기다.
Is there something you want to tell me?,뭔가 할 말이 있니?
Suit yourself.,맘대로 해라.
My daughter's your age.,내 딸은 당신 또래이다.
I was too scared to ask.,물어보기엔 너무 무서웠다.
I don't want to play anymore.,더이상 놀기 싫어
Tom asked us if we'd like to do that.,톰이 우리가 저걸 하고싶어하는지 물어보던데.
"Tom is fast, too.",톰도 빨라.
Anybody home?,누구 집에 있어?
I thought you said that you weren't afraid of ghosts.,나는 네가 유령을 두려워하지 않는다고 말한줄 알았어.
Tom and Mary are both lawyers.,톰과 메리는 둘 다 변호사야.
That happened over a year ago.,그 일은 일년 전 쯤 일어났다.
I wonder what the weather will be tomorrow.,내일 날씨가 어떨지 궁금해.
"Someday, I'll know.",언젠가는 알아낼 것이다.
I know Tom was proud of me.,톰이 날 자랑스러워 했던 것은 알고 있다.
"It's been nice talking to you, but I really must go now.","너와 이야기 하는 것은 정말 좋았는데, 근데 진짜 가봐야 해."
Which jacket is Tom's?,어느 자켓이 톰 꺼야?
You should quit smoking.,당신은 담배를 끊어야 한다.
Why do you take so long to eat?,너는 먹는 데 왜 그렇게 오래 걸려?
Don't eat the oysters.,굴을 먹지마세요.
Tom shot Mary.,톰은 메리를 쐈다.
I bought three pairs of shoes the day before yesterday.,난 그저께 신발 세 켤레를 샀어.
I went to the bank.,나는 은행에 갔다.
Tom has low blood pressure.,톰은 저혈압이다.
Her dress attracted everyone's attention at the party.,그 여자가 파티에 입고 온 드레스가 사람들의 눈길을 끌었지.
I'm nervous.,긴장돼요.
It works.,되네.
I'm not quite sure who we should hire.,누구를 채용해야 할지 확신이 안 서.
I have to give Tom this book.,나는 톰에게 이 책을 줘야 합니다.
The school looks like a prison.,이 학교는 감옥처럼 생겼어.
I can help you.,내가 널 도울 수 있어.
Tom saved my life.,톰이 나를 살려주었다.
This coat is warm.,이 코트는 따뜻하다.
That man stole my bag.,저 남자가 내 가방을 훔쳤다.
Better a small fish than an empty dish.,조금이더라도 없는 것보단 낫다.
Tom has Asperger's.,톰은 아스퍼거야.
Everybody loves her.,모두 그녀를 사랑한다.
Are these your socks?,이 양말 당신 거에요?
The prisoners were set free.,죄수들은 자유의 몸이 되었다.
"If it rains tomorrow, I'm not going to the meeting.",내일 비가 내린다면 나는 회의에 가지 않을 것이다.
We watched him until he was out of sight.,우리는 시야 밖으로 벗어날 때까지 그를 바라보았다.
